"price","size_m2","rooms","city","type","condition","price2","size2","unit_price"
"23 M Ft ","54  m2","2 szoba ","Pécs ","tégla építésû","Jó állapotú",23,54,0.425925925925926
"43 M Ft ","59  m2","2 szoba ","Budapest, III. kerület ","tégla építésû","Jó állapotú",43,59,0.728813559322034
"23,9 M Ft ","54  m2","2 szoba ","Budapest, IV. kerület ","tégla építésû","felújítandó",23.9,54,0.442592592592593
"47 M Ft ","61  m2","2 szoba ","Budapest, VI. kerület ","tégla építésû","Jó állapotú",47,61,0.770491803278688
"47 M Ft ","61  m2","2 szoba ","Budapest, VI. kerület ","tégla építésû","Jó állapotú",47,61,0.770491803278688
"23 M Ft ","54  m2","2 szoba ","Pécs ","tégla építésû","Jó állapotú",23,54,0.425925925925926
"23 M Ft ","54  m2","2 szoba ","Pécs ","tégla építésû","Jó állapotú",23,54,0.425925925925926
"23,9 M Ft ","54  m2","2 szoba ","Budapest, IV. kerület ","tégla építésû","felújítandó",23.9,54,0.442592592592593
"41,2 M Ft ","66  m2","3 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",41.2,66,0.624242424242424
"36 M Ft ","44  m2","1 és fél szoba ","Budapest, IX. kerület ","tégla építésû","Jó állapotú",36,44,0.818181818181818
"22 M Ft ","39  m2","1 és fél szoba ","Budapest, IV. kerület ","tégla építésû","Felújított állapotú",22,39,0.564102564102564
"41,9 M Ft ","58  m2","1 és 2 fél szoba ","Budapest, XIII. kerület ","panellakás","Felújított állapotú",41.9,58,0.722413793103448
"39,9 M Ft ","74  m2","3 szoba ","Pécs ","tégla építésû","Jó állapotú",39.9,74,0.539189189189189
"39,9 M Ft ","74  m2","3 szoba ","Pécs ","tégla építésû","Jó állapotú",39.9,74,0.539189189189189
"34,9 M Ft ","115  m2","3 szoba ","Szombathely ","tégla építésû",NA,34.9,115,0.303478260869565
"39,9 M Ft ","74  m2","3 szoba ","Pécs ","tégla építésû","Jó állapotú",39.9,74,0.539189189189189
"110 M Ft ","113  m2","3 és 2 fél szoba ","Pécs ","tégla építésû","Új építésû",110,113,0.973451327433628
"35 M Ft ","103  m2","3 és 2 fél szoba ","Kaposvár ","tégla építésû","Felújított állapotú",35,103,0.339805825242718
"39,9 M Ft ","74  m2","3 szoba ","Pécs ","tégla építésû","Jó állapotú",39.9,74,0.539189189189189
"39,9 M Ft ","74  m2","3 szoba ","Pécs ","tégla építésû","Jó állapotú",39.9,74,0.539189189189189
"36,8 M Ft ","50  m2","2 szoba ","Budapest, III. kerület ","panellakás","Felújított állapotú",36.8,50,0.736
"19,7 M Ft ","55  m2","2 szoba ","Kecskemét ","panellakás","Jó állapotú",19.7,55,0.358181818181818
"54,5 M Ft ","81  m2","2 és 2 fél szoba ","Zalaegerszeg ","tégla építésû","Új építésû",54.5,81,0.672839506172839
"54 M Ft ","83  m2","2 és 2 fél szoba ","Zalaegerszeg ","tégla építésû","Új építésû",54,83,0.650602409638554
"54,4 M Ft ","86  m2","2 és 2 fél szoba ","Zalaegerszeg ","tégla építésû","Új építésû",54.4,86,0.632558139534884
"68,9 M Ft ","71  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Felújított állapotú",68.9,71,0.970422535211268
"45,9 M Ft ","43  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,45.9,43,1.06744186046512
"68,9 M Ft ","71  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Felújított állapotú",68.9,71,0.970422535211268
"54,4 M Ft ","86  m2","2 és 2 fél szoba ","Zalaegerszeg ","tégla építésû","Új építésû",54.4,86,0.632558139534884
"42,5 M Ft ","51  m2","2 szoba ","Kecskemét ","tégla építésû","Újszerû állapotú",42.5,51,0.833333333333333
"54 M Ft ","83  m2","2 és 2 fél szoba ","Zalaegerszeg ","tégla építésû","Új építésû",54,83,0.650602409638554
"54,6 M Ft ","83  m2","2 és 2 fél szoba ","Zalaegerszeg ","tégla építésû","Új építésû",54.6,83,0.657831325301205
"51,5 M Ft ","81  m2","2 és 2 fél szoba ","Zalaegerszeg ","tégla építésû","Új építésû",51.5,81,0.635802469135803
"22,9 M Ft ","72  m2","3 és fél szoba ","Nyíregyháza ","tégla építésû","Felújított állapotú",22.9,72,0.318055555555556
"40,9 M Ft ","54  m2","1 és fél szoba ","Budapest, XI. kerület ","panellakás","Jó állapotú",40.9,54,0.757407407407407
"26,9 M Ft ","32  m2","1 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",26.9,32,0.840625
"26,9 M Ft ","32  m2","1 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",26.9,32,0.840625
"22 M Ft ","41  m2","1 szoba ","Nyíregyháza ","tégla építésû","Újszerû állapotú",22,41,0.536585365853659
"11 M Ft ","180  m2","1 szoba ","Nagykanizsa ","tégla építésû",NA,11,180,0.0611111111111111
"39,9 M Ft ","34  m2","1 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,39.9,34,1.17352941176471
"23,9 M Ft ","24  m2","1 szoba ","Budapest, VI. kerület ","tégla építésû","felújítandó",23.9,24,0.995833333333333
"69,9 M Ft ","87  m2","2 és fél szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",69.9,87,0.803448275862069
"135 M Ft ","94  m2","3 szoba ","Budapest, V. kerület ","tégla építésû","felújítandó",135,94,1.43617021276596
"19,5 M Ft ","53  m2","2 szoba ","Tatabánya ","tégla építésû","Jó állapotú",19.5,53,0.367924528301887
"34,5 M Ft ","43  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",34.5,43,0.802325581395349
"64 M Ft ","55  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Új építésû",64,55,1.16363636363636
"53,9 M Ft ","66  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","felújítandó",53.9,66,0.816666666666667
"21,6 M Ft ","23  m2","1 szoba ","Budapest, VII. kerület ","tégla építésû","felújítandó",21.6,23,0.939130434782609
"14 M Ft ","15  m2","1 szoba ","Budapest, XIII. kerület ","tégla építésû","felújítandó",14,15,0.933333333333333
"38,5 M Ft ","41  m2","1 szoba ","Budapest, IX. kerület ","tégla építésû","Felújított állapotú",38.5,41,0.939024390243902
"56 M Ft ","129  m2","4 szoba ","Kecskemét ","tégla építésû","Felújított állapotú",56,129,0.434108527131783
"56 M Ft ","69  m2","3 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",56,69,0.811594202898551
"19,6 M Ft ","67  m2","3 szoba ","Nagykanizsa ","panellakás","Felújított állapotú",19.6,67,0.292537313432836
"22,5 M Ft ","51  m2","3 szoba ","Kecskemét ","panellakás","Jó állapotú",22.5,51,0.441176470588235
"37,5 M Ft ","73  m2","3 szoba ","Kecskemét ","panellakás","Felújított állapotú",37.5,73,0.513698630136986
"97 M Ft ","103  m2","3 szoba ","Budapest, V. kerület ","tégla építésû","felújítandó",97,103,0.941747572815534
"129 M Ft ","95  m2","3 szoba ","Budapest, XI. kerület ","tégla építésû","Új építésû",129,95,1.35789473684211
"74,9 M Ft ","80  m2","3 szoba ","Budapest, VIII. kerület ","tégla építésû","Új építésû",74.9,80,0.93625
"46 M Ft ","74  m2","3 szoba ","Zalaegerszeg ","tégla építésû","Új építésû",46,74,0.621621621621622
"66,9 M Ft ","72  m2","3 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,66.9,72,0.929166666666667
"65,9 M Ft ","66  m2","3 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,65.9,66,0.998484848484849
"65,9 M Ft ","73  m2","3 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,65.9,73,0.902739726027397
"35 M Ft ","47  m2","2 szoba ","Budapest, IV. kerület ","panellakás","Újszerû állapotú",35,47,0.74468085106383
"36,6 M Ft ","46  m2","2 szoba ","Budapest, XIII. kerület ","panellakás","Felújított állapotú",36.6,46,0.795652173913044
"41,9 M Ft ","30  m2","1 és fél szoba ","Budapest, V. kerület ","tégla építésû","Felújított állapotú",41.9,30,1.39666666666667
"15,9 M Ft ","18  m2","1 szoba ","Budapest, IV. kerület ","tégla építésû","Felújított állapotú",15.9,18,0.883333333333333
"16,9 M Ft ","21  m2","1 szoba ","Budapest, IV. kerület ","tégla építésû","Felújított állapotú",16.9,21,0.804761904761905
"21,9 M Ft ","58  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.9,58,0.377586206896552
"127,9 M Ft ","150  m2","4 szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",127.9,150,0.852666666666667
"34 M Ft ","68  m2","2 és fél szoba ","Kecskemét ","panellakás","Felújított állapotú",34,68,0.5
"21,7 M Ft ","54  m2","2 szoba ","Kecskemét ","panellakás","Jó állapotú",21.7,54,0.401851851851852
"52,7 M Ft ","62  m2","3 szoba ","Budapest, IV. kerület ","tégla építésû","Új építésû",52.7,62,0.85
"54,9 M Ft ","98  m2","3 szoba ","Pécs ","tégla építésû","Új építésû",54.9,98,0.560204081632653
"52,7 M Ft ","62  m2","3 szoba ","Budapest, IV. kerület ","tégla építésû","Új építésû",52.7,62,0.85
"79,9 M Ft ","76  m2","1 és 2 fél szoba ","Budapest, II. kerület ","tégla építésû","Felújított állapotú",79.9,76,1.05131578947368
"44,9 M Ft ","43  m2","2 szoba ","Budapest, XIX. kerület ","tégla építésû","Jó állapotú",44.9,43,1.04418604651163
"57,8 M Ft ","80  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",57.8,80,0.7225
"59,9 M Ft ","79  m2","2 és 2 fél szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",59.9,79,0.758227848101266
"26,5 M Ft ","62  m2","2 szoba ","Halásztelek ","tégla építésû","felújítandó",26.5,62,0.42741935483871
"57,8 M Ft ","80  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",57.8,80,0.7225
"44,9 M Ft ","43  m2","2 szoba ","Budapest, XIX. kerület ","tégla építésû","Jó állapotú",44.9,43,1.04418604651163
"48,5 M Ft ","96  m2","2 és fél szoba ","Kecskemét ","tégla építésû","Jó állapotú",48.5,96,0.505208333333333
"39,8 M Ft ","68  m2","2 szoba ","Kecskemét ","tégla építésû","Felújított állapotú",39.8,68,0.585294117647059
"44,9 M Ft ","42  m2","2 szoba ","Budapest, II. kerület ","tégla építésû","Újszerû állapotú",44.9,42,1.06904761904762
"59,9 M Ft ","74  m2","2 és fél szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",59.9,74,0.809459459459459
"18 M Ft ","55  m2","2 szoba ","Miskolc ","tégla építésû","felújítandó",18,55,0.327272727272727
"26,5 M Ft ","40  m2","1 szoba ","Debrecen ","tégla építésû","Felújított állapotú",26.5,40,0.6625
"75 M Ft ","120  m2","5 szoba ","Paks ","tégla építésû",NA,75,120,0.625
"43 M Ft ","59  m2","2 szoba ","Budapest, III. kerület ","tégla építésû","Jó állapotú",43,59,0.728813559322034
"29,9 M Ft ","35  m2","2 szoba ","Szigetszentmiklós ","tégla építésû","Felújított állapotú",29.9,35,0.854285714285714
"32 M Ft ","55  m2","2 szoba ","Budapest, XXI. kerület ","tégla építésû","Jó állapotú",32,55,0.581818181818182
"87,5 M Ft ","98  m2","3 szoba ","Veszprém ","tégla építésû","Felújított állapotú",87.5,98,0.892857142857143
"52 M Ft ","52  m2","1 szoba ","Budapest, I. kerület ","tégla építésû","Jó állapotú",52,52,1
"16 M Ft ","28  m2","1 szoba ","Kecskemét ","tégla építésû","Jó állapotú",16,28,0.571428571428571
"58 M Ft ","38  m2","1 és fél szoba ","Budapest, V. kerület ","tégla építésû","Jó állapotú",58,38,1.52631578947368
"210 M Ft ","393  m2","9 és fél szoba ","Budapest, III. kerület ","tégla építésû","Jó állapotú",210,393,0.534351145038168
"37,9 M Ft ","75  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",37.9,75,0.505333333333333
"54,9 M Ft ","80  m2","3 szoba ","Kecskemét ","tégla építésû","Felújított állapotú",54.9,80,0.68625
"47 M Ft ","54  m2","3 szoba ","Pécs ","tégla építésû","Új építésû",47,54,0.87037037037037
"24,9 M Ft ","65  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",24.9,65,0.383076923076923
"57,5 M Ft ","54  m2","3 szoba ","Budapest, VII. kerület ","tégla építésû","Felújított állapotú",57.5,54,1.06481481481481
"69,9 M Ft ","75  m2","3 szoba ","Pécs ","tégla építésû","Újszerû állapotú",69.9,75,0.932
"57,4 M Ft ","62  m2","3 szoba ","Budapest, II. kerület ","tégla építésû","felújítandó",57.4,62,0.925806451612903
"28,5 M Ft ","69  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",28.5,69,0.41304347826087
"63,4 M Ft ","71  m2","2 szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",63.4,71,0.892957746478873
"49,9 M Ft ","96  m2","2 szoba ","Budapest, VI. kerület ","tégla építésû","felújítandó",49.9,96,0.519791666666667
"159,9 M Ft ","79  m2","2 és fél szoba ","Budapest, VI. kerület ","tégla építésû","Felújított állapotú",159.9,79,2.02405063291139
"43,9 M Ft ","69  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",43.9,69,0.636231884057971
"59,9 M Ft ","74  m2","2 és fél szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",59.9,74,0.809459459459459
"79,1 M Ft ","100  m2","4 szoba ","Budapest, IV. kerület ","tégla építésû","Új építésû",79.1,100,0.791
"66,7 M Ft ","74  m2","4 szoba ","Budapest, IV. kerület ","tégla építésû","Új építésû",66.7,74,0.901351351351351
"82,9 M Ft ","51  m2","1 és 2 fél szoba ","Budapest, XII. kerület ","tégla építésû","Felújított állapotú",82.9,51,1.62549019607843
"51,9 M Ft ","57  m2","1 és 2 fél szoba ","Budapest, IV. kerület ","tégla építésû","Újszerû állapotú",51.9,57,0.910526315789474
"74,5 M Ft ","99  m2","3 szoba ","Budapest, XI. kerület ","tégla építésû","Jó állapotú",74.5,99,0.752525252525252
"135 M Ft ","94  m2","3 szoba ","Budapest, V. kerület ","tégla építésû","felújítandó",135,94,1.43617021276596
"32 M Ft ","96  m2","3 szoba ","Kecskemét ","tégla építésû","felújítandó",32,96,0.333333333333333
"61,5 M Ft ","70  m2","2 és fél szoba ","Budapest, II. kerület ","tégla építésû","Felújított állapotú",61.5,70,0.878571428571429
"22,5 M Ft ","54  m2","2 szoba ","Miskolc ","tégla építésû","Felújított állapotú",22.5,54,0.416666666666667
"65 M Ft ","56  m2","2 szoba ","Siófok ","tégla építésû","Újszerû állapotú",65,56,1.16071428571429
"18,5 M Ft ","51  m2","2 szoba ","Zalaegerszeg ","tégla építésû",NA,18.5,51,0.362745098039216
"65 M Ft ","56  m2","2 szoba ","Siófok ","tégla építésû","Újszerû állapotú",65,56,1.16071428571429
"22,5 M Ft ","54  m2","2 szoba ","Miskolc ","tégla építésû","Felújított állapotú",22.5,54,0.416666666666667
"24,9 M Ft ","38  m2","2 szoba ","Budapest, X. kerület ","tégla építésû","Felújított állapotú",24.9,38,0.655263157894737
"23,9 M Ft ","55  m2","2 szoba ","Szeged ","tégla építésû","Felújított állapotú",23.9,55,0.434545454545455
"134,9 M Ft ","136  m2","5 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,134.9,136,0.991911764705882
"38 M Ft ","66  m2","3 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",38,66,0.575757575757576
"21,9 M Ft ","29  m2","1 szoba ","Budapest, XX. kerület ","tégla építésû","Jó állapotú",21.9,29,0.755172413793103
"51 M Ft ","56  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",51,56,0.910714285714286
"79,9 M Ft ","85  m2","2 és fél szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",79.9,85,0.94
"43,4 M Ft ","57  m2","5 fél szoba ","Budapest, XI. kerület ","tégla építésû","Felújított állapotú",43.4,57,0.76140350877193
"38,9 M Ft ","76  m2","3 szoba ","Kecskemét ","tégla építésû","Felújított állapotú",38.9,76,0.511842105263158
"89,8 M Ft ","102  m2","3 szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",89.8,102,0.880392156862745
"35,4 M Ft ","57  m2","3 szoba ","Budapest, XIX. kerület ","tégla építésû","Jó állapotú",35.4,57,0.621052631578947
"59,9 M Ft ","122  m2","3 szoba ","Kecskemét ","tégla építésû","Felújított állapotú",59.9,122,0.490983606557377
"62 M Ft ","75  m2","3 szoba ","Budapest, XI. kerület ","tégla építésû","felújítandó",62,75,0.826666666666667
"245,4 M Ft ","75  m2","3 szoba ","Budapest, I. kerület ","tégla építésû","Felújított állapotú",245.4,75,3.272
"49,9 M Ft ","77  m2","4 szoba ","Kecskemét ","tégla építésû","Jó állapotú",49.9,77,0.648051948051948
"86,5 M Ft ","74  m2","4 szoba ","Budapest, XI. kerület ","tégla építésû","Jó állapotú",86.5,74,1.16891891891892
"130 M Ft ","130  m2","4 szoba ","Budapest, I. kerület ","tégla építésû","Jó állapotú",130,130,1
"26,9 M Ft ","121  m2","4 és fél szoba ","Hódmezõvásárhely ","tégla építésû","Felújított állapotú",26.9,121,0.222314049586777
"55 M Ft ","120  m2","5 szoba ","Pécs ","tégla építésû","Jó állapotú",55,120,0.458333333333333
"31,5 M Ft ","61  m2","3 szoba ","Budapest, X. kerület ","tégla építésû","Jó állapotú",31.5,61,0.516393442622951
"28,5 M Ft ","74  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",28.5,74,0.385135135135135
"53 M Ft ","66  m2","2 és fél szoba ","Budapest, I. kerület ","tégla építésû","Jó állapotú",53,66,0.803030303030303
"61,5 M Ft ","70  m2","2 és fél szoba ","Budapest, II. kerület ","tégla építésû","Felújított állapotú",61.5,70,0.878571428571429
"56,9 M Ft ","50  m2","1 és fél szoba ","Balatonföldvár ","tégla építésû","Új építésû",56.9,50,1.138
"41,9 M Ft ","30  m2","1 és fél szoba ","Budapest, V. kerület ","tégla építésû","Felújított állapotú",41.9,30,1.39666666666667
"78,3 M Ft ","103  m2","4 szoba ","Göd ","tégla építésû","Új építésû",78.3,103,0.760194174757282
"70 M Ft ","95  m2","3 és fél szoba ","Szeged ","tégla építésû","Újszerû állapotú",70,95,0.736842105263158
"188,2 M Ft ","134  m2","4 szoba ","Budapest, VI. kerület ","tégla építésû","Új építésû",188.2,134,1.4044776119403
"60,5 M Ft ","89  m2","4 szoba ","Dunaharaszti ","tégla építésû","Új építésû",60.5,89,0.679775280898876
"52 M Ft ","131  m2","4 szoba ","Pécs ","tégla építésû","Jó állapotú",52,131,0.396946564885496
"177 M Ft ","322  m2","6 és 2 fél szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",177,322,0.549689440993789
"210 M Ft ","393  m2","9 és fél szoba ","Budapest, III. kerület ","tégla építésû","Jó állapotú",210,393,0.534351145038168
"123,5 M Ft ","91  m2","4 szoba ","Budapest, XI. kerület ","tégla építésû","Új építésû",123.5,91,1.35714285714286
"63,5 M Ft ","106  m2","4 szoba ","Budapest, VIII. kerület ","tégla építésû","felújítandó",63.5,106,0.599056603773585
"622,8 M Ft ","357  m2","15 szoba ","Budapest, VII. kerület ","tégla építésû","Újszerû állapotú",622.8,357,1.74453781512605
"55,6 M Ft ","50  m2","2 szoba ","Budapest, IX. kerület Márton utca 10. ","tégla építésû","Új építésû",55.6,50,1.112
"60 M Ft ","61  m2","2 szoba ","Budapest, IX. kerület Márton utca 10. ","tégla építésû","Új építésû",60,61,0.983606557377049
"48,6 M Ft ","49  m2","2 szoba ","Budapest, IX. kerület Márton utca 10. ","tégla építésû","Új építésû",48.6,49,0.991836734693878
"55,5 M Ft ","49  m2","2 szoba ","Budapest, IX. kerület Márton utca 10. ","tégla építésû","Új építésû",55.5,49,1.13265306122449
"68 M Ft ","68  m2","3 szoba ","Budapest, IX. kerület Márton utca 10. ","tégla építésû","Új építésû",68,68,1
"199 M Ft ","173  m2","4 szoba ","Budapest, VIII. kerület ","tégla építésû","Új építésû",199,173,1.15028901734104
"31,4 M Ft ","51  m2","2 szoba ","Szombathely ","tégla építésû",NA,31.4,51,0.615686274509804
"32,7 M Ft ","53  m2","2 szoba ","Budapest, XVIII. kerület ","tégla építésû","Felújított állapotú",32.7,53,0.616981132075472
"46,5 M Ft ","45  m2","2 szoba ","Budapest, XIII. kerület Gidófalvy Lajos utca 2. ","tégla építésû","Új építésû",46.5,45,1.03333333333333
"60 M Ft ","63  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Új építésû",60,63,0.952380952380952
"67 M Ft ","49  m2","2 szoba ","Budapest, VIII. kerület Bacsó Béla utca 17. ","tégla építésû","Új építésû",67,49,1.36734693877551
"52 M Ft ","55  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Új építésû",52,55,0.945454545454545
"64 M Ft ","67  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Új építésû",64,67,0.955223880597015
"46,2 M Ft ","43  m2","2 szoba ","Budapest, XIII. kerület Gidófalvy Lajos utca 2. ","tégla építésû","Új építésû",46.2,43,1.07441860465116
"39,1 M Ft ","29  m2","1 szoba ","Budapest, VIII. kerület Bacsó Béla utca 17. ","tégla építésû","Új építésû",39.1,29,1.34827586206897
"37 M Ft ","48  m2","2 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",37,48,0.770833333333333
"16,8 M Ft ","40  m2","1 és fél szoba ","Pécs ","panellakás","felújítandó",16.8,40,0.42
"16,8 M Ft ","40  m2","1 és fél szoba ","Pécs ","panellakás","felújítandó",16.8,40,0.42
"18,5 M Ft ","53  m2","1 és fél szoba ","Pétfürdõ ","panellakás","Jó állapotú",18.5,53,0.349056603773585
"16,8 M Ft ","40  m2","1 és fél szoba ","Pécs ","panellakás","felújítandó",16.8,40,0.42
"16,8 M Ft ","40  m2","1 és fél szoba ","Pécs ","panellakás","felújítandó",16.8,40,0.42
"25 M Ft ","62  m2","1 és 2 fél szoba ","Várpalota ","panellakás","Jó állapotú",25,62,0.403225806451613
"79,3 M Ft ","97  m2","2 és 2 fél szoba ","Budapest, X. kerület ","tégla építésû","Új építésû",79.3,97,0.817525773195876
"42,4 M Ft ","46  m2","2 szoba ","Szeged ","tégla építésû","Új építésû",42.4,46,0.921739130434783
"65,8 M Ft ","77  m2","2 és 2 fél szoba ","Budapest, X. kerület ","tégla építésû","Új építésû",65.8,77,0.854545454545454
"37 M Ft ","48  m2","2 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",37,48,0.770833333333333
"63,4 M Ft ","56  m2","3 szoba ","Budapest, XIII. kerület Gidófalvy Lajos utca 2. ","tégla építésû","Új építésû",63.4,56,1.13214285714286
"70,9 M Ft ","83  m2","1 és 3 fél szoba ","Budapest, X. kerület ","tégla építésû","Új építésû",70.9,83,0.85421686746988
"45,6 M Ft ","53  m2","1 és fél szoba ","Budapest, X. kerület ","tégla építésû","Új építésû",45.6,53,0.860377358490566
"25,7 M Ft ","29  m2","1 szoba ","Budapest, X. kerület ","tégla építésû","Új építésû",25.7,29,0.886206896551724
"63,2 M Ft ","75  m2","1 és 3 fél szoba ","Budapest, X. kerület ","tégla építésû","Új építésû",63.2,75,0.842666666666667
"63,2 M Ft ","75  m2","1 és 3 fél szoba ","Budapest, X. kerület ","tégla építésû","Új építésû",63.2,75,0.842666666666667
"62,4 M Ft ","77  m2","1 és 2 fél szoba ","Budapest, X. kerület ","tégla építésû","Új építésû",62.4,77,0.81038961038961
"41,4 M Ft ","51  m2","1 és fél szoba ","Budapest, X. kerület ","tégla építésû","Új építésû",41.4,51,0.811764705882353
"39,9 M Ft ","58  m2","1 és 2 fél szoba ","Budapest, XIII. kerület ","panellakás","Jó állapotú",39.9,58,0.687931034482759
"36,6 M Ft ","36  m2","2 szoba ","Budapest, XI. kerület Bartók Béla út 152. ","Új építésû","2023.03.átadás",36.6,36,1.01666666666667
"26,3 M Ft ","25  m2","1 szoba ","Budapest, XI. kerület Bartók Béla út 152. ","Új építésû","2023.03.átadás",26.3,25,1.052
"26,2 M Ft ","25  m2","1 szoba ","Budapest, XI. kerület Bartók Béla út 152. ","Új építésû","2023.03.átadás",26.2,25,1.048
"28,6 M Ft ","27  m2","1 szoba ","Budapest, XI. kerület Bartók Béla út 152. ","Új építésû","2023.03.átadás",28.6,27,1.05925925925926
"23,9 M Ft ","50  m2","2 szoba ","Budapest, X. kerület ","panellakás","felújítandó",23.9,50,0.478
"260,8 M Ft ","105  m2","3 és fél szoba ","Budapest, XIII. kerület ","tégla építésû","Új építésû",260.8,105,2.48380952380952
"60,6 M Ft ","67  m2","3 szoba ","Szeged ","tégla építésû","Új építésû",60.6,67,0.904477611940299
"29,9 M Ft ","61  m2","3 szoba ","Pécs ","panellakás","Felújított állapotú",29.9,61,0.490163934426229
"29,9 M Ft ","66  m2","1 és 2 fél szoba ","Szombathely ","panellakás","Újszerû állapotú",29.9,66,0.453030303030303
"50,9 M Ft ","49  m2","1 szoba ","Debrecen ","tégla építésû","Felújított állapotú",50.9,49,1.03877551020408
"50,9 M Ft ","49  m2","1 szoba ","Debrecen ","tégla építésû","Felújított állapotú",50.9,49,1.03877551020408
"36,4 M Ft ","46  m2","1 és fél szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",36.4,46,0.791304347826087
"50,9 M Ft ","49  m2","1 szoba ","Debrecen ","tégla építésû","Felújított állapotú",50.9,49,1.03877551020408
"196 M Ft ","170  m2","4 szoba ","Budapest, VIII. kerület ","tégla építésû","Új építésû",196,170,1.15294117647059
"19,9 M Ft ","39  m2","1 és fél szoba ","Pécs ","panellakás","Felújított állapotú",19.9,39,0.51025641025641
"26,9 M Ft ","32  m2","1 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",26.9,32,0.840625
"19,9 M Ft ","39  m2","1 és fél szoba ","Pécs ","panellakás","Felújított állapotú",19.9,39,0.51025641025641
"55,1 M Ft ","69  m2","3 szoba ","Budapest, VIII. kerület Magdolna utca 38. ","tégla építésû","Új építésû",55.1,69,0.798550724637681
"23,9 M Ft ","40  m2","1 és fél szoba ","Pécs ","tégla építésû","Felújított állapotú",23.9,40,0.5975
"19,2 M Ft ","55  m2","2 szoba ","Kecskemét ","panellakás","felújítandó",19.2,55,0.349090909090909
"23,7 M Ft ","42  m2","2 szoba ","Nyíregyháza ","tégla építésû","Újszerû állapotú",23.7,42,0.564285714285714
"96 M Ft ","66  m2","2 és fél szoba ","Budapest, XI. kerület ","tégla építésû","Új építésû",96,66,1.45454545454545
"85,7 M Ft ","67  m2","2 és fél szoba ","Budapest, XI. kerület ","tégla építésû","Új építésû",85.7,67,1.27910447761194
"83,6 M Ft ","60  m2","2 és fél szoba ","Budapest, XI. kerület ","tégla építésû","Új építésû",83.6,60,1.39333333333333
"70,6 M Ft ","68  m2","2 és fél szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",70.6,68,1.03823529411765
"26,2 M Ft ","54  m2","2 szoba ","Helvécia ","tégla építésû","Új építésû",26.2,54,0.485185185185185
"64,4 M Ft ","57  m2","2 és fél szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",64.4,57,1.12982456140351
"64,5 M Ft ","60  m2","2 és fél szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",64.5,60,1.075
"96,7 M Ft ","64  m2","2 és fél szoba ","Budapest, XI. kerület ","tégla építésû","Új építésû",96.7,64,1.5109375
"80,8 M Ft ","60  m2","2 és fél szoba ","Budapest, XI. kerület ","tégla építésû","Új építésû",80.8,60,1.34666666666667
"63,9 M Ft ","57  m2","2 és fél szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",63.9,57,1.12105263157895
"23,9 M Ft ","50  m2","2 szoba ","Helvécia ","tégla építésû","Új építésû",23.9,50,0.478
